"","x"
"1","youtube.com"
"2","t.me"
"3","epochtimes.de"
"4","welt.de"
"5","ift.tt"
"6","deutsch.rt.com"
"7","journalistenwatch.com"
"8","n-tv.de"
"9","focus.de"
"10","merkur.de"
"11","kenfm.de"
"12","twitter.com"
"13","heise.de"
"14","nachdenkseiten.de"
"15","rubikon.news"
"16","mobile.twitter.com"
"17","reitschuster.de"
"18","telegra.ph"
"19","ddbnews.org"
"20","de.sputniknews.com"
"21","uncut-news.ch"
"22","ddbnews.de"
"23","de.news-front.info"
"24","archive.vn"
"25","facebook.com"
"26","m.focus.de"
"27","m.bild.de"
"28","web.archive.org"
"29","tagesschau.de"
"30","spiegel.de"
"31","br.de"
"32","de.rt.com"
"33","wochenblick.at"
"34","deutsche-wirtschafts-nachrichten.de"
"35","tichyseinblick.de"
"36","kopp-report.de"
"37","kopp-verlag.de"
"38","open.lbry.com"
"39","lbry.tv"
"40","odysee.com"
"41","foxnews.com"
"42","rumble.com"
"43","dlive.tv"
"44","nypost.com"
"45","nordbayern.de"
"46","buendnis-landtag-abberufen.de"
"47","instagram.com"
"48","bit.ly"
"49","klagepaten.eu"
"50","vimeo.com"
"51","bild.de"
"52","19vierundachtzig.com"
"53","bitchute.com"
"54","servustv.com"
"55","google.com"
"56","ignazbearth.ch"
"57","veezee.tv"
"58","frei3.de"
"59","twitch.tv"
"60","m.facebook.com"
"61","donnersender.ru"
"62","ogy.de"
"63","m8y1.info"
"64","amzn.to"
"65","bittubers.com"
"66","faz.net"
"67","zerohedge.com"
"68","summit.news"
"69","dailymail.co.uk"
"70","archive.is"
"71","archive.org"
"72","mmnews.de"
"73","t-online.de"
"74","corona-transition.org"
"75","swprs.org"
"76","20min.ch"
"77","nau.ch"
"78","blick.ch"
"79","srf.ch"
"80","kla.tv"
"81","de.wikipedia.org"
