link_short,category
t.me,platform
youtube.com,platform
odysee.com,platform
facebook.com,platform
20min.ch,traditional_media
twitter.com,platform
dlive.tv,platform
corona-transition.org,alternative_media
blick.ch,traditional_media
bitchute.com,platform
m.facebook.com,platform
ignazbearth.ch,alternative_media
srf.ch,traditional_media
nichtohneuns-freiburg.de,alternative_media
wochenblick.at,alternative_media
nau.ch,traditional_media
frei3.de,alternative_media
fruehling2020.com,other
web.archive.org,other
bild.de,traditional_media
veezee.tv,platform
google.com,platform
zeitpunkt.ch,alternative_media
reitschuster.de,alternative_media
notrecht-referendum.ch,other
welt.de,traditional_media
telegra.ph,platform
admin.ch,traditional_media
epochtimes.de,alternative_media
kla.tv,alternative_media
uncut-news.ch,alternative_media
nzz.ch,traditional_media
instagram.com,platform
citizengo.org,alternative_media
n-tv.de,traditional_media
archive.is,other
twitch.tv,platform
vimeo.com,platform
openpetition.eu,platform
teespring.com,platform
focus.de,traditional_media
t.co,platform
verfassungsfreunde.ch,alternative_media
de.rt.com,alternative_media
tagesanzeiger.ch,traditional_media
journalistenwatch.com,alternative_media
legitim.ch,alternative_media
spiegel.de,traditional_media
terror-nein.ch,other
lbry.tv,platform
bit.ly,other
openpetition.de,platform
msn.com,traditional_media
dailymotion.com,platform
bundestag.de,traditional_media
snanews.de,alternative_media
tagesschau.de,traditional_media
m.focus.de,traditional_media
t-online.de,traditional_media
donnersender.ru,alternative_media
heise.de,traditional_media
rt.com,alternative_media
merkur.de,traditional_media
deutsch.rt.com,alternative_media
m.bild.de,traditional_media
klagepaten.eu,alternative_media
faz.net,traditional_media
rnd.de,traditional_media
connectiv.events,other
ift.tt,other
mmnews.de,alternative_media
rubikon.news,alternative_media
br.de,traditional_media
ogy.de,other
m8y1.info,alternative_media
de.sputniknews.com,alternative_media
2020news.de,alternative_media
pravda-tv.com,alternative_media
de.wikipedia.org,platform
sueddeutsche.de,traditional_media
heute.at,traditional_media
de.m.wikipedia.org,platform
berliner-zeitung.de,traditional_media
deutsche-wirtschafts-nachrichten.de,traditional_media
unser-mitteleuropa.com,alternative_media
paypal.me,other
zeit.de,traditional_media
corona-ausschuss.de,alternative_media
rtl.de,traditional_media
zdf.de,traditional_media
google.de,platform
tichyseinblick.de,alternative_media
rki.de,traditional_media
aerzteblatt.de,traditional_media
tag24.de,traditional_media
tagesspiegel.de,traditional_media
open.lbry.com,platform
achgut.com,alternative_media
servustv.com,alternative_media
kenfm.de,alternative_media
file.wikileaks.org,platform
mobile.twitter.com,platform
businessinsider.de,traditional_media
swr.de,traditional_media
nachdenkseiten.de,alternative_media
ddbnews.org,alternative_media
ddbnews.de,alternative_media
de.news-front.info,alternative_media
kopp-verlag.de,alternative_media
kopp-report.de,alternative_media
nypost.com,traditional_media
19vierundachtzig.com,alternative_media
amzn.to,platform
dailymail.co.uk,traditional_media
archive.vn,other
foxnews.com,traditional_media
rumble.com,alternative_media
nordbayern.de,traditional_media
buendnis-landtag-abberufen.de,other
bittubers.com,platform
zerohedge.com,other
summit.news,alternative_media
archive.org,platform
swprs.org,alternative_media
